Account_ID,Account_Number,Name,Account_Type,Balance,Fixed_Deposit,Recurring_Deposit,Loan_Amount,Interest_Rate,Branch,City,Country,Email,Phone_Number,Transaction_Type,Withdrawal,Deposit,Transaction_Date,Account_Open_Date,Notes,Possible,negative,Total_Balance,Loan_Status,Customer_Tenure,Account_Category,Interest_Per_Year,Zero_Balance_Flag,inconsistent_date
ACC100726,5264982737,Robert,RD,1079429.0,89590,18588,634423.0,8,Mumbai,Dubai,India,robert@gmail.com,5822795921.0,Credit,129297,32504,2015-01-02,2015-09-28,Check,False,False,1187607.0,1,-269 days,High Balance,50753.840000000004,0,False
ACC103088,7449368818,Kumar,Current,1945242.0,21911,27385,479017.0,14,Bangalore,Dubai,,kumar@gmail.com,7857944732.0,Debit,181051,87695,2015-01-02,2021-07-10,,False,False,1994538.0,1,-2381 days,High Balance,67062.38,0,False
ACC100462,3391975073,Divya,Current,4266841.0,20754,4301,43806.0,16,Hyderabad,Chennai,India,divya@gmail.com,9070436470.0,Debit,81332,25992,2015-01-03,2024-07-24,Temp,False,False,4291896.0,1,-3490 days,High Balance,7008.96,0,False
ACC102592,9397392589,Divya,Unknown,2551185.0,97892,39469,855309.0,10,Mumbai,Mumbai,,divya@gmail.com,8610841395.0,Debit,104334,-13939,2015-01-06,2022-02-08,,False,True,2688546.0,1,-2590 days,High Balance,85530.90000000001,0,False
ACC101436,9847854514,John,RD,2417439.0,11070,28091,637966.0,8,Hyderabad,Mumbai,United States,john@gmail.com,3319063576.0,Credit,114310,-37899,2015-01-07,2023-07-12,Check,False,True,2456600.0,1,-3108 days,High Balance,51037.28,0,False
ACC102793,5958826815,Priya,FD,191006.0,89538,1404,324699.0,12,Delhi,Delhi,India,priya@gmail.com,0.0,Credit,131000,37745,2015-01-08,2019-11-10,Check,False,False,281948.0,1,-1767 days,Medium Balance,38963.88,0,False
ACC101832,9543255197,Kavi,RD,2324838.0,34477,14322,894007.0,16,Mumbai,Dubai,United Arab Emirites,kavi@gmail.com,238973681.0,Credit,71204,146309,2015-01-08,2023-03-13,,False,False,2373637.0,1,-2986 days,High Balance,143041.12,0,False
ACC104984,9570159635,Aisha,RD,86592.0,38540,23729,1828912.0,14,Bangalore,Mumbai,India,aisha@gmail.com,4415162159.0,Debit,41882,-25108,2015-01-10,2021-07-06,,False,True,148861.0,1,-2369 days,Medium Balance,256047.68000000002,0,False
ACC104314,8352479110,Fatima,Unknown,4452441.0,65991,26903,1854920.0,12,Chennai,Dubai,United States,fatima@gmail.com,4067529011.0,Debit,151252,169714,2015-01-10,2016-07-31,,False,False,4545335.0,1,-568 days,High Balance,222590.4,0,False
ACC104142,1275601515,Robert,FD,1111732.0,29884,41048,23473.0,8,Mumbai,,India,robert@gmail.com,9975665328.0,Credit,138595,17990,2015-01-12,2015-03-06,,False,False,1182664.0,1,-53 days,High Balance,1877.8400000000001,0,False
ACC102157,4091316555,Aisha,Unknown,3404406.0,10806,18255,1232778.0,8,Chennai,New York,United States,aisha@gmail.com,9814305506.0,Debit,163845,152943,2015-01-14,2024-09-09,,False,False,3433467.0,1,-3526 days,High Balance,98622.24,0,False
ACC103797,7954529514,Priya,Current,2417439.0,4580,46436,1758015.0,16,Chennai,,United States,priya@gmail.com,2069170507.0,Credit,42776,177877,2015-01-16,2018-01-08,,False,False,2468455.0,1,-1088 days,High Balance,281282.4,0,False
ACC100967,8370757372,Aisha,Current,403192.0,53768,14860,0.0,16,Bangalore,Delhi,India,aisha@gmail.com,8387638305.0,Credit,67350,128781,2015-01-19,2021-10-27,Check,False,False,471820.0,0,-2473 days,High Balance,0.0,0,False
ACC101192,2027297981,Priya,Savings,806878.0,54029,4177,0.0,10,Mumbai,Mumbai,India,priya@gmail.com,2974559240.0,Credit,-13978,144329,2015-01-19,2020-02-19,Remove,False,True,865084.0,0,-1857 days,High Balance,0.0,0,False
ACC100745,6819534804,Fatima,Current,2007956.0,50357,41616,649650.0,16,Hyderabad,Chennai,,fatima@gmail.com,275491210.0,Debit,136106,-19862,2015-01-19,2015-02-24,Temp,False,True,2099929.0,1,-36 days,High Balance,103944.0,0,False
ACC100992,9154667094,Priya,Current,4465400.0,70514,42272,796070.0,12,Chennai,New York,,priya@gmail.com,1480324491.0,Debit,182816,67436,2015-01-21,2021-09-12,Temp,False,False,4578186.0,1,-2426 days,High Balance,95528.4,0,False
ACC100903,4492895715,Priya,Savings,3755142.0,24520,11888,767104.0,14,Delhi,Mumbai,United Arab Emirites,priya@gmail.com,4126963003.0,Credit,97162,170416,2015-01-23,2023-02-16,Temp,False,False,3791550.0,1,-2946 days,High Balance,107394.56000000001,0,False
ACC100371,3410121814,Divya,Savings,1165442.0,79390,9677,1360092.0,16,Chennai,Delhi,,divya@gmail.com,6420950810.0,Credit,-10523,134935,2015-01-23,2016-07-19,Check,False,True,1254509.0,1,-543 days,High Balance,217614.72,0,False
